Cat,Maker,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
3W,ENGINIA VEHICLES PVT LTD,0,0,0,0,0,4,1,0,188,184
2W,ENGTIAN ELECTRIC BIKE PVT LTD,0,0,0,0,0,0,0,141,472,237
2W,ENIGMA AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,2,13
3W,ENTICE IMPEX PVT LTD,0,177,200,128,101,131,148,188,587,599
3W,EPOWER VEHICLES PVT LTD,0,4,185,181,160,55,62,43,31,6
3W,ERISHA E MOBILITY PVT LTD,0,0,0,0,0,0,0,0,55,48
LMV,ERISHA E MOBILITY PVT LTD,0,0,0,0,0,0,0,0,1,1
3W,ESCORT JCB LTD,0,1,0,0,0,0,0,0,0,0
LMV,ESCORTS CONSTRUCTION EQUIPMENT LTD,0,4,0,2,0,0,0,0,0,0
3W,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,1,0,0,0,0,0,0,0,0
LMV,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),0,1,0,0,0,0,1,1,5,0
2W,E-SPRINTO GREEN ENERGY PVT LTD,0,0,0,0,0,0,0,0,116,331
2W,ESSEL ENERGY INFRA PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,ETHIRAJ AUTO UDYOG PVT LTD    ,0,0,0,1,0,0,0,0,0,0
3W,ETRIO AUTOMOBILES PVT LTD,0,0,0,0,0,0,75,179,80,6
LMV,ETRIO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,1,4,0
3W,EULER MOTORS PVT LTD,0,0,0,49,143,63,119,647,2595,2104
LMV,EULER MOTORS PVT LTD,0,0,0,0,0,0,0,7,3,2
LMV,EVAGE AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,3,44,60
3W,EVBHARAT RANGE PRIVATE LIMITED,0,0,0,0,0,0,0,15,31,18
3W,EVCO AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,57,14,327
3W,EVERVE MOTORS PVT LTD,0,0,0,0,0,0,0,0,1,0
3W,EVEX AUTO INDIA PVT LTD,0,0,0,1,67,66,134,298,166,36
3W,EVOLUTION AUTOTECH,0,0,0,10,3,1,5,2,0,2
2W,EVTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,162,540,123
2W,EXERVAL PVT LTD,0,0,0,0,0,0,0,127,83,13
3W,EXIDE INDUSTRIES LTD,0,0,0,0,1,274,519,1056,2379,1318
3W,EXPO MACHINERY LTD,0,1,0,1,0,0,0,0,0,0
3W,EXTRA FAST SOLUTIONS,0,0,0,0,0,56,214,401,614,470
3W,EXTRAMILE GAS TECH,0,0,0,3,4,6,0,0,0,0
3W,EXTREME MOTORS,0,0,49,200,111,12,15,177,218,90
3W,EYUG AUTOMOBILE PVT LTD,0,0,0,0,0,0,0,0,0,10
3W,FEDE INDUSTRIES PVT LTD,0,0,0,0,0,0,0,395,900,496
2W,FIADO INDUSTRIES PVT LTD,0,0,0,0,0,0,0,5,106,58
3W,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,268,546,281
3W,FITWEL MOBILITY PVT LTD,0,0,0,0,0,0,1,31,17,2
3W,FIVE ELEMENTS,0,6,48,30,15,6,1,23,119,83
LMV,FORCE MOTORS LIMITED,0,1,0,0,0,0,0,0,0,0
3W,FORD INDIA PVT LTD,0,0,0,1,0,0,0,0,0,0
LMV,FORD INDIA PVT LTD,1,0,0,1,0,0,0,0,0,0
3W,FRN MOTORS PVT LTD,0,0,0,0,0,0,0,0,0,6
2W,FSTMOTO (IMPORTER: AUTOICARE INNOVATION),0,0,0,0,0,0,0,0,57,21
2W,FSTMOTO INTERNATIONAL (IMPORTER: TEDI (INDIA)),0,0,0,0,0,0,0,0,0,2
2W,FUJIYAMA POWER INFRA PVT. LTD.,0,0,0,0,0,0,0,0,16,4
3W,G & G AUTOMOTIVE,0,0,47,457,688,318,447,699,1430,648
LMV,G & G AUTOMOTIVE,0,0,0,1,0,0,0,0,0,0
3W,G WILLIAMS FABRICATIONS LTD,0,0,0,44,68,5,1,2,0,0
3W,G. M. VEHICLE INDUSTRIES,0,0,0,0,0,0,0,9,3,22
3W,G.K E-VEHICLS INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,74,479
3W,G.K. RICKSHAW,0,0,816,1626,2257,2405,2491,4151,5514,2850
LMV,G.K. RICKSHAW,0,0,1,0,0,0,0,0,0,0
3W,GAGAN AUTOMOTIVES,0,0,0,0,0,0,0,0,383,508
LMV,GAIA INTERNATIONAL (IMPORTER: NEW ENERGY WAGON),0,0,0,0,0,0,0,0,1,0
3W,GALVANIC AUTO PVT LTD,0,0,0,0,0,0,0,0,188,19
LMV,GANAPATI AGRO INDUSTRIES,1,0,0,0,0,0,0,0,0,0
3W,GARWARE MOTORS LIMITED,0,0,8,0,0,0,0,0,0,0
2W,GAURA ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,163
3W,GAURI AUTO INDIA PVT. LTD,0,0,0,0,15,7,6,10,1,0
3W,GAYAM MOTOR WORKS PRIVATE LIMITED,0,0,0,0,10,28,63,0,0,0
3W,GAYATRI ELECTRIC VEHICLES,0,0,6,117,195,81,428,2048,2950,1053
3W,GEMAG CONSTRUCTION MACHINARY,1,1,3,0,0,0,0,0,0,0
3W,GENERAL AGENCIES(KOLKATA) PVT LTD,0,0,0,0,9,1,0,0,0,0
2W,GENERAL MOTORS INDIA PVT LTD,3,1,0,0,0,0,0,0,0,0
3W,GENERAL MOTORS INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0
LMV,GENERAL MOTORS INDIA PVT LTD,1,0,0,0,0,0,0,0,0,0
3W,GEO ALLIANCE,0,0,0,0,1,6,4,0,0,0
3W,GILL AGRICULTURE WORKS,0,0,0,4,0,0,0,0,0,0
3W,GILL AGROTECH,0,0,0,0,0,0,0,0,1,0
3W,GIRNAR SCOOTERS LTD,0,1,0,0,0,0,0,0,0,0
3W,GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,0,207,565,472,238,392,864,711,277
LMV,GKON ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,0,1,0,0,0,0,0
2W,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,0,0,0,0,0,0,9,7,11,0
3W,GOBIND INDUSTRIES PVT LTD,0,0,0,0,7,0,0,12,5,10
2W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,0,128,184
3W,GODAWARI ELECTRIC MOTORS PVT LTD,0,0,0,0,0,0,0,0,145,155
3W,GODAWARI TECHNO SOLUTIONS PVT LTD,0,0,0,1,93,48,55,86,74,32
LMV,GODREJ AND BOYCE MFG CO LTD,15,6,15,1,0,0,1,0,2,0
3W,GOENKA ELECTRIC MOTOR VEH P L,35,195,55,9,0,0,0,0,0,0
LMV,GOENKA ELECTRIC MOTOR VEH P L,0,1,2,15,0,0,0,0,0,0
3W,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,0,73,348,506,693,787,743,644,462,36
LMV,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,0,0,0,1,0,0,0,0,0,0
2W,GOGORO (IMPORTER: GOGORO INDIA PRIVATE LTD),0,0,0,0,0,0,0,0,71,0
2W,GOGORO INDIA PVT LTD,0,0,0,0,0,0,0,0,18,115
3W,GOLD HOFER,0,0,0,0,0,0,0,0,1,0
2W,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),0,0,0,0,0,0,0,0,1,1
3W,GOOD ENERGY INDIA,1,19,36,2,3,0,0,0,0,0
3W,GOOD WILL HI PRECISION,0,15,21,3,0,1,0,0,0,0
3W,GOODENERGY INDIA PVT LTD,0,97,86,5,0,0,0,0,0,0
3W,GOODWILL HI PRECISION WORKS PVT LTD,0,0,3,59,53,19,10,25,0,0
3W,GOPAL AGROTECH,0,0,1,0,0,0,0,0,0,0
3W,GOPAL AUTO MOTORS PVT LTD,0,0,0,277,262,292,518,1054,1494,939
2W,GOREEN E-MOBILITY PVT LTD,0,0,0,0,1,94,1409,5343,3040,952
3W,GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,0,0,0,0,51,0,21,65,136,11
3W,GRD MOTORS,0,0,0,241,1628,1476,1546,2154,3411,2043
LMV,GREAT AUTOMOTIVE LIMITED,0,2,0,0,0,0,0,0,0,0
3W,GREAVES COTTON LTD.,0,0,1,0,0,0,0,0,0,0
2W,GREAVES ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,410,24045,18424
3W,GREAVES INDIA PVT LTD,0,0,9,0,0,0,0,0,0,0
3W,GREEN EVOLVE PVT LTD,0,0,0,0,0,0,0,69,42,172
3W,GREEN IMPEX,1,627,650,246,182,25,3,175,442,169
3W,GREEN KAIKETSU AUTOMATIVE IND,0,78,175,10,4,6,3,1,0,0
3W,GREEN KAIKETSU AUTOMOTIVE INDIA PVT LTD,0,37,146,140,146,27,14,5,0,0
3W,GREEN SHUTTLE TECHNOLOGY PVT LTD,0,0,0,0,18,14,39,36,28,27
3W,GREEN STAR MOTORS,0,0,0,8,0,0,24,15,345,176
LMV,GREEN STAR MOTORS,0,0,0,1,0,0,0,0,0,0
3W,GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,0,0,0,0,0,0,0,0,46,22
3W,GREEN TECHNOLOGIES,0,0,178,570,543,100,129,43,221,198
3W,GREEN VALLEY MOTORS,0,0,47,220,89,38,13,14,11,4
LMV,GREEN VALLEY MOTORS,0,0,0,1,0,0,0,0,0,0
3W,GREEN WAY ECO RIDE,0,0,1,0,0,1,1,0,3,1
3W,GREEN WHEELZ (INDIA),0,0,31,131,15,3,0,0,0,0
3W,GREEN WORLD MOTORS PVT LTD,0,0,0,10,2,0,0,0,0,0
3W,GREENETICS INDUSTRIES PVT LTD,0,0,1,0,0,0,0,0,116,0
3W,GREENFIT INDUSTRIES LLP,0,0,0,0,0,0,0,0,4,168
3W,GREENTECH AUTO LLP,0,0,0,8,19,36,6,6,1,7
3W,GREENWHEELS AUTOMOBILE PVT LTD,0,61,170,98,201,129,505,905,872,424
3W,GRG SMART VEHICLE PVT LTD,0,0,0,0,4,29,4,0,0,0
3W,GRINDIA G MOTORS PVT LTD,0,0,0,0,0,0,0,0,3,2
2W,GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),0,0,0,0,0,0,0,0,0,4
3W,GUJARAT TRACTOR CORP LTD,0,1,0,0,0,0,0,0,0,0
3W,GURDEEP ENGINEERING WORKS,0,1,8,1,0,0,0,0,0,0
3W,GURJEET AGRO INDUSTRIES,0,1,8,2,0,0,0,0,0,0
3W,GURU JI WHEELS,0,0,0,0,0,21,118,117,64,0
3W,GURUKIRPA INDUSTRIES,0,0,127,251,383,79,53,57,37,1
3W,GURUKIRPA MOTORS,0,0,16,0,0,0,0,0,0,0
3W,GURUKRAPA ENGINEERING WORKS,0,0,1,0,0,0,0,0,0,0
3W,H. D. AUTOMOTIVES,0,0,0,1,9,0,0,0,0,0
2W,H.M.S.I. PVT. LTD.,0,3,2,0,0,0,0,0,0,0
3W,HAARISH AUTOMOTIVES (OPC) PRIVATE LIMITED,0,0,0,77,105,3,2,12,11,0
3W,HAITEK AUTOMOTIVE PVT LTD,0,0,0,0,0,0,0,0,0,60
2W,HAMPI TRACTORS,0,1,0,0,0,0,0,0,0,0
3W,HANUMAN UDYOG,0,0,0,0,0,0,0,0,8,68
3W,HARJAS AGRO INDUSTRIES,0,0,1,0,0,0,0,0,0,0
3W,HARSH TRADING CO,0,0,67,297,231,73,75,45,34,36
3W,HARSHVIE INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,2,4
2W,HAYASA E-MOBILITY (INDIA) PVT LTD,0,0,0,0,0,0,0,0,4,0
3W,HBSS E MOBILITY PVT LTD,0,0,0,0,0,0,0,0,8,16
3W,H-D MOTOR COMPANY INDIA PVT LTD,0,0,4,0,0,0,0,0,0,0
3W,HERCULES CRANE PVT.LTD.,0,0,145,16,0,0,0,0,0,0
2W,HERO ECO VEHICLES PVT LTD,33,22,17,17,8,0,0,0,0,0
3W,HERO ECO VEHICLES PVT LTD,0,10,1,0,0,0,0,0,0,0
2W,HERO ELECTRIC VEHICLE PVT LTD,254,246,164,616,664,593,3058,2538,0,0
3W,HERO ELECTRIC VEHICLE PVT LTD,63,94,42,5,0,0,0,0,0,0
LMV,HERO ELECTRIC VEHICLE PVT LTD,0,0,1,0,0,0,0,0,0,0
2W,HERO ELECTRIC VEHICLES PVT. LTD,1,34,162,5785,11155,8247,46260,97828,29964,2211
3W,HERO ELECTRIC VEHICLES PVT. LTD,0,0,72,47,15,0,3,1,0,0
2W,HERO HONDA MOTORS  LTD,19,54,4,1,1,0,0,0,0,0
2W,HERO MOTOCORP LTD,92,157,74,39,33,0,0,182,11142,19479
3W,HERO MOTOCORP LTD,0,0,229,62,0,0,0,0,0,0
LMV,HETTRA HET TRAILER,0,1,0,0,0,0,0,0,0,0
3W,HIM TEKNOFORGE LTD,0,0,19,46,85,50,151,449,624,321
3W,HIND AGRO INDUSTRIES,0,0,0,1,0,0,0,0,0,0
3W,HINDUSTAN MOTOR CORPORATION,0,0,0,48,192,177,528,1162,1367,580
LMV,HINDUSTAN MOTOR CORPORATION,0,0,0,0,1,0,0,0,0,0
2W,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,1,0,0,0,0,0,0,0,0
LMV,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,0,0,0,1,0,0,0,0,0,0
3W,HITECH  MECHANICAL WORKS,0,0,0,6,1,20,28,2,12,4
3W,HITECH ELECTRIC AUTO CO,0,27,14,0,0,0,0,2,0,0
3W,HITECH INDUSTRIES,0,37,62,3,0,0,0,0,0,0
3W,HI-TECH INDUSTRIES,0,0,253,257,131,37,441,297,122,21
3W,HITEK ELECTRIC AUTO CO,0,0,87,155,108,7,2,5,0,0
3W,HITEK ELECTRIC AUTO CO.,0,0,2,0,0,0,0,0,0,0
3W,HMT LIMITED,0,0,1,0,0,0,0,0,0,0
2W,HOMFEEL VEGH AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,6,4
2W,HONDA CARS INDIA LTD,134,81,120,4,0,0,0,0,0,0
LMV,HONDA CARS INDIA LTD,2,1,0,1,0,0,0,0,0,0
2W,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,119,195,36,19,4,0,0,30,0,0
LMV,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,0,2,0,0,0,0,0,0,0,0
2W,HONGKONG YIXING (IMPORTER: ADMS MARKETING),0,0,0,0,0,0,0,14,84,163
2W,HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),0,0,0,0,0,0,0,0,18,3
2W,HOOGHLY MOTORS PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,HOOGHLY MOTORS PVT LTD,0,0,918,1216,1855,689,1091,2599,3741,2783
2W,HOP ELECTRIC MOBILITY PVT LTD,0,0,0,0,0,0,0,2,209,163
3W,HOP MOTORS PVT LTD,0,0,0,0,20,15,69,217,785,340
3W,HOTAGE INDIA,0,5,688,1168,856,470,1046,4397,12840,7423
2W,HOUSTAN INNOVATION LLP,0,0,0,0,0,0,0,33,32,5
LMV,HOUSTAN INNOVATION LLP,0,0,0,0,0,0,0,2,0,0
3W,HOVEL CYLINDER PVT LTD,0,152,456,676,238,30,13,21,62,48
2W,HSU DRAGON (IMPORTER: DARK FIGHT POWER PVT LTD),0,0,0,0,0,0,0,0,2,1
3W,HUNDA EV PVT LTD,0,0,0,0,0,0,0,0,125,255
3W,HUNDAL INDUSTRIES,0,0,0,256,616,292,399,848,1011,562
3W,HYKON INDIA LTD,0,0,0,0,0,0,159,306,91,17
3W,HYUNDAI MOTOR INDIA LTD,0,1,0,0,0,0,0,0,0,0
LMV,HYUNDAI MOTOR INDIA LTD,0,5,2,1,233,206,165,619,1606,757
LMV,"HYUNDAI MOTORS LTD, SOUTH KOREA",0,0,0,0,0,0,0,5,0,1
3W,IDEAL JAWA INDIA PVT LTD,0,0,1,0,0,0,0,0,0,0
3W,INDIA SAFE ENTERPRISE,0,0,0,0,0,0,0,16,276,241
2W,INDIA YAMAHA MOTOR PVT LTD,26,31,14,2,0,0,0,0,0,0
3W,INDIA YAMAHA MOTOR PVT LTD,0,0,36,7,0,0,0,0,0,0
3W,INDIAN MOTORS,0,0,0,5,52,106,350,1114,2035,1399
3W,INDO FARM EQUIPMENT LIMITED,0,0,1,0,0,0,0,0,0,0
2W,INDUS ELECTROTHERM INDIA LTD,13,3,2,0,0,0,0,0,0,0
3W,INS AUTOMOBILES PVT LTD,0,0,0,0,0,0,0,0,0,272
2W,INTERNATIONAL CARS & MOTORS LTD,0,0,1,0,0,0,0,0,0,0
3W,INTERNATIONAL CARS & MOTORS LTD,0,0,1,0,0,0,0,0,0,0
LMV,INTERNATIONAL TRACTORS LIMITED,0,6,6,2,1,0,0,0,0,0
3W,INVVIGORS INDIA,0,0,0,0,0,0,0,9,96,73
2W,IRA EDUTECH PVT LTD,0,0,0,0,0,38,78,98,19,6
3W,ISUKII GREENS PVT LTD,0,0,0,0,0,0,0,0,65,14
2W,ISUZU MOTOR INDIA PVT LTD,1,0,0,0,0,0,0,0,0,0
2W,IVOOMI INNOVATION PVT LTD,0,0,0,0,0,0,0,627,2154,668
2W,IZANAU ELECTRIC LLP,0,0,0,0,0,0,0,32,51,13
3W,J P AUTO TECH,0,0,0,17,6,8,50,82,80,30
3W,J S AGRO INDUSTRIES,0,0,0,1,1,0,0,0,0,0
3W,J S MOBILEON PVT LTD,0,248,43,0,10,0,0,6,7,0
3W,J. S. AUTO (P) LTD,0,95,2652,2921,2314,1260,3075,6947,11165,6278
3W,J.S.AUTO PVT LTD (KANPUR),0,0,2,3,1,0,0,0,0,0
3W,JADE KOREA SPINE LIFE,0,0,0,69,74,53,67,20,113,24
3W,JAGUAR LAND ROVER INDIA LIMITED,0,0,43,6,0,0,0,0,0,0
LMV,JAGUAR LAND ROVER INDIA LIMITED,0,0,0,0,0,0,27,40,9,4
LMV,JAI AMBE FABRICATION & ENGINEERING WORK,1,0,0,0,0,0,0,0,0,0
LMV,JAI BHAVANI ENGINEERING  WORKS,0,0,0,0,0,0,0,1,0,0
3W,JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,0,0,0,0,0,0,0,0,165,108
3W,JAIDKA POWER SYSTEMS PVT LTD,0,0,0,157,414,249,180,636,163,61
LMV,JAIDKA POWER SYSTEMS PVT LTD,0,0,0,0,0,0,0,1,0,0
3W,JAIN POWER CORP,0,0,0,39,80,28,33,64,143,58
LMV,JAIN POWER CORP,0,0,0,0,0,0,0,0,0,1
3W,JAISIK BUSINESS LINKS PVT LTD,0,0,0,0,0,0,176,224,600,287
3W,JAISWAL INDUSTRIES,0,0,8,0,0,0,0,0,0,0
3W,JAJODIA COMMODITIES PVT LTD,0,0,131,779,633,660,224,396,950,770
3W,JAL ENTERPRISES,0,0,0,0,0,0,0,0,38,2
LMV,JANANI TRAILERS,1,0,0,0,0,0,0,0,0,0
3W,JAY ACE TECHNOLOGIES LTD,0,36,88,26,2,1,0,0,0,0
LMV,JAY AMBE AGRICULTURE,0,1,0,0,0,0,0,0,0,0
3W,JAYA AUTOMOTIVES PVT LTD      ,0,3,23,0,0,0,0,0,0,0
LMV,JAYANTI AGRO CENTRES,1,0,0,0,0,0,0,0,0,0
3W,JAYATI TOOLS,0,0,0,0,0,0,0,0,0,5
3W,JAYDEV ENTERPRISE,0,0,0,55,248,95,42,23,6,0
LMV,JAYEM AUTOMOTIVES PVT LTD,0,0,0,0,19,42,49,0,0,0
3W,JAYNA AUTOMOBILES LLP,0,0,0,0,0,0,0,0,0,5
3W,JCB INDIA LTD,0,0,37,9,0,0,0,0,0,0
LMV,JEEVA TRAILERS,0,0,1,0,0,0,0,0,0,0
2W,JEEVAA E-BIKE MFG PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,JEMCO ENGINEERING PVT LTD,0,0,0,3,0,0,0,0,0,0
3W,JESSUN TECHNO PVT LTD,0,0,0,174,362,43,84,155,208,101
2W,JIANGSU AIMA (IMPORTER: FUTURE EV),0,0,0,0,0,0,0,0,8,40
2W,JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),0,0,0,0,0,0,0,31,454,13
2W,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),0,0,0,0,0,0,0,0,11,4
2W,JIANGSU DALONG (IMPORTER: KINGCHE MOBILITY),0,0,0,0,0,0,0,0,20,7
2W,JIANGSU DALONG (IMPORTER: RILOX EV PVT LTD),0,0,0,0,0,0,0,0,2,0
2W,JIANGSU DALONG (IMPORTER: SABOO TOR),0,0,0,0,0,0,0,0,22,24
2W,JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),0,0,0,0,0,0,0,0,50,10
2W,JIANGSU DALONG JIANHAO (IMPORTER: GREEN INDIA),0,0,0,0,0,0,0,0,1,0
2W,JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),0,0,0,0,0,0,0,0,31,10
2W,JIANGSU GUOWEI (IMPORTER:ELECTRO-TECH),0,0,0,0,0,0,0,0,0,7
3W,JIANGSU JINPENG (IMPORTER: KKL HITECH EV),0,0,0,0,0,0,0,0,10,16
2W,JIANGSU SUNHOU (IMPORTER: SABOO TOR),0,0,0,0,0,0,0,1,10,2
2W,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),0,0,0,0,0,0,0,12,3,2
2W,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),0,0,0,0,0,0,2,41,85,11
2W,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),0,0,0,0,0,0,0,496,799,121
3W,JIJO ELECTRIC WHEELS PVT LTD,0,137,442,471,184,6,0,0,0,0
3W,JINDAL ELECTRIC VEHICLES,0,0,0,3,37,3,0,0,0,0
2W,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,0,46,454,1967,9553,2617,687
3W,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,1,2,32,75,66,34,5
LMV,JITENDRA NEW EV-TECH PVT. LTD,0,0,0,3,1,0,0,0,0,0
3W,JITENDRA TEMPO PARTS,0,0,0,0,34,89,601,680,740,348
3W,JMT VEHICLES PVT LTD,0,0,0,0,0,0,0,0,1077,1383
LMV,JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),0,1,3,2,0,0,0,0,0,0
3W,JOYRAM STEEL FABRICATION WORKS,0,0,0,0,0,1,5,3,14,3
3W,JS MOBILEON PVT LTD,0,0,146,283,208,43,115,306,950,678
3W,JSS ENGINEERING COMPANY,0,0,0,0,5,0,0,0,0,0
2W,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),0,0,0,0,0,0,0,9,52,37
2W,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),0,0,0,0,0,0,0,37,212,102
2W,JUNENG MOTORCYCLE (IMPORTER: JHEV MOTORS PVT LTD),0,0,0,0,0,0,0,0,0,52
2W,JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),0,0,0,0,0,0,0,0,22,23
LMV,JUNGHEINRICH AG AND CO,0,0,2,0,0,0,0,0,0,0
3W,JUNO CASTINGS PVT LTD,0,9,79,238,79,6,0,0,0,0
LMV,JUNO CASTINGS PVT LTD,0,0,0,1,0,0,0,0,0,0
2W,K M MOTORS,0,0,0,0,1,0,0,0,0,0
3W,K T ENTERPRISES,0,0,0,52,143,57,129,292,156,93
3W,K. S. INDUSTRIES,0,0,0,0,0,0,0,0,0,8
3W,K. V. INDUSTRIES,0,0,0,0,26,19,10,12,38,19
2W,KABIRA MOBILITY LLP,0,0,0,0,0,0,5,107,165,27
3W,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,0,0,6,62,40,66,78,263,479,189
3W,KADESEETLA AASHIRWAD GP INDUSTRIES PVT LTD,0,0,0,0,0,0,0,0,8,4
2W,KAINING (HONGKONG) (IMPORTER: ENERGY AUTOMOBILE),0,0,0,0,0,0,0,0,7,10
2W,KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),0,0,0,0,0,0,0,0,51,12
2W,KAINING (HONGKONG) (IMPORTER: TOXMO ELECTRIC),0,0,0,0,0,0,0,0,5,2
2W,KAINING (HONGKONG) (IMPORTER: VOLTA EV PVT LTD),0,0,0,0,0,0,0,0,0,3
2W,KAINING (HONGKONG) (IMPORTER:M/S IZANAU ELECTRIC),0,0,0,0,0,0,0,0,11,17
3W,KAKKAR ELECTRIC AUTO PVT LTD,0,0,0,0,0,0,0,0,0,93
3W,KALIKA VAHAN PVT LTD,0,0,0,55,55,39,17,2,2,0
3W,KALINGA VENTURES IND P,0,0,25,5,5,0,0,0,0,0
3W,KALINGA VENTURES INDIA PVT LTD,0,0,20,96,250,96,31,110,139,9
LMV,KALINGA VENTURES INDIA PVT LTD,0,0,1,58,7,0,0,0,0,0
3W,KALPVRIKSH ELECTOMOBILES CO,0,0,0,1,74,70,83,136,288,211
3W,KAMAZ INDUSTRIES,0,0,0,6,5,30,9,61,122,42
3W,KANHA ELECTRIC VEHICLES,0,0,0,0,0,0,0,0,0,33
3W,KANIFA AUTOMOTIVE PVT LTD,0,0,0,0,2,78,1,0,0,0
3W,KAPTECH INDIA PVT LTD,0,0,0,205,657,357,888,1433,1846,1242
3W,KARNATAKA SCOOTERS LTD,0,0,19,0,0,0,0,0,0,0
3W,KARTAR AGRO ENGINEERS PVT LTD,0,0,0,1,0,0,0,0,0,0
3W,KARTAR AGRO INDUSTRIES PVT LTD,0,0,1,0,0,0,0,0,0,0
LMV,KARUMALAIAN AGRO INDUSTRY     ,3,0,0,0,0,0,0,0,0,0
MMV,KARUMALAIAN AGRO INDUSTRY     ,1,0,0,0,0,0,0,0,0,0
3W,KATYAYANI AUTOMOTIVE,0,0,0,0,0,0,0,0,0,2
3W,KAYAMEL MACHINE PRIVATE LTD,0,0,2,0,0,0,0,0,0,0
3W,KCAS ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,47,197,105
3W,KELVINATOR INDIA LTD          ,0,0,3,1,0,0,0,0,0,0
3W,KERALA AUTOMOBILES LIMITED,0,0,0,0,0,36,73,32,74,87
3W,KETO MOTORS PVT LTD,0,0,0,0,0,0,190,130,224,364
LMV,KETO MOTORS PVT LTD,0,0,0,0,0,0,1,0,0,0
3W,KETRON ELECTRIC VEHICLES PVT LTD,0,0,0,0,0,0,0,0,0,1
3W,KGN,0,0,0,0,38,72,76,321,339,170
3W,KGN INDUSTRIES,0,0,0,0,16,8,0,47,405,522
LMV,KGN INDUSTRIES,0,0,0,1,0,0,0,0,0,0
3W,KHALSA  AGRO INDUSTRIES,0,0,429,11,0,21,7,31,3,0
3W,KHALSA E-VEHICLES PVT LTD,0,0,129,1299,1233,607,1214,3712,8478,5591
3W,KHAN ENGINEERING WORKS,0,0,1,0,0,0,0,0,0,0
3W,KHEMRAJ AUTOMOTIVE INDUSTRIES,0,48,352,177,46,13,7,2,0,0
LMV,KIA INDIA PRIVATE LIMITED,0,0,0,0,0,0,0,215,438,172
2W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,0,0,0,0,2085,7779,7515
3W,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,12,383,1374,1463,669,835,2704,4648,1756
LMV,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,0,0,0,3,1,0,840,8,1,30
3W,KINETIC GREEN ENERGY P SOL LTD,29,2005,880,68,43,38,136,316,58,0
3W,KINETIC MOTOR COMPANY LIMITED,3,250,678,13,0,0,0,0,0,0
LMV,KION INDIA PVT LTD,2,3,4,0,0,0,0,4,0,0
